individualID,specimenID,specimenIdSource,organ,tissue,BrodmannArea,sampleStatus,tissueWeight,tissueVolume,nucleicAcidSource,cellType,fastingState,isPostMortem,samplingAge,individualIdSource,species,sex,genotype,genotypeBackground,room,litter,matingID,dateBirth,dateDeath,treatmentType,Climb_Identifier,ExternalIdentifier,StockNumber,OfficialName,modelSystemName,CurrentLocationPath,MaterialOrigin,AnimalStatus,ExitReason,PhysicalMarker,Generation,AnimalMatingStatus,Comments,jobNumber,Microchip Number,Diet,Birth ID,brainWeight,animalWeight,modelCommonName
32046,32046GIS,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,male,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32046,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,289859181,6%,,0.47,41,5XFAD
32046,32046H&E,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,male,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32046,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,289859181,6%,,0.47,41,5XFAD
32046,32046LIF,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,male,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32046,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,289859181,6%,,0.47,41,5XFAD
32046,32046LB,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,male,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32046,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,289859181,6%,,0.47,41,5XFAD
32046,32046NC,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,male,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32046,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,289859181,6%,,0.47,41,5XFAD
32046,32046ThioS,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,male,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32046,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,289859181,6%,,0.47,41,5XFAD
32046,32046rh,,brain,whole brain,,frozen,,,,,FALSE,TRUE,,JAX,Mouse,male,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32046,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,289859181,6%,,0.47,41,5XFAD
32047,32047,,blood,serum,,frozen,,,,,FALSE,FALSE,,JAX,Mouse,male,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32047,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,289777416,6%,,0.454,42.89,5XFAD
32047,32047rh,,brain,whole brain,,frozen,,,,,FALSE,TRUE,,JAX,Mouse,male,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1223,M-108-17,3/19/18,2/12/19,,32047,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F3,Virgin,,JAX 5xFAD 12mo,289777416,6%,,0.454,42.89,5XFAD
32048,32048rh,,brain,whole brain,,frozen,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_carrier,C57BL6J,JAX_MGL373,RMO1263,M-340-17,3/20/18,2/12/19,,32048,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F4,Virgin,,JAX 5xFAD 12mo,288855717,6%,,0.447,25.57,5XFAD
32049,32049,,blood,serum,,frozen,,,,,FALSE,FALSE,,JAX,Mouse,female,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1263,M-340-17,3/20/18,2/12/19,,32049,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F4,Virgin,,JAX 5xFAD 12mo,288770010,6%,,0.489,29.96,5XFAD
32049,32049rh,,brain,whole brain,,frozen,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1263,M-340-17,3/20/18,2/12/19,,32049,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F4,Virgin,,JAX 5xFAD 12mo,288770010,6%,,0.489,29.96,5XFAD
32050,32050,,blood,serum,,frozen,,,,,FALSE,FALSE,,JAX,Mouse,female,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1263,M-340-17,3/20/18,2/12/19,,32050,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F4,Virgin,,JAX 5xFAD 12mo,288773377,6%,,0.447,24.67,5XFAD
32050,32050CDIF,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1263,M-340-17,3/20/18,2/12/19,,32050,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F4,Virgin,,JAX 5xFAD 12mo,288773377,6%,,0.447,24.67,5XFAD
32050,32050H&E,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1263,M-340-17,3/20/18,2/12/19,,32050,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F4,Virgin,,JAX 5xFAD 12mo,288773377,6%,,0.447,24.67,5XFAD
32050,32050LIF,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1263,M-340-17,3/20/18,2/12/19,,32050,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F4,Virgin,,JAX 5xFAD 12mo,288773377,6%,,0.447,24.67,5XFAD
32050,32050LB,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1263,M-340-17,3/20/18,2/12/19,,32050,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F4,Virgin,,JAX 5xFAD 12mo,288773377,6%,,0.447,24.67,5XFAD
32050,32050NC,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1263,M-340-17,3/20/18,2/12/19,,32050,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F4,Virgin,,JAX 5xFAD 12mo,288773377,6%,,0.447,24.67,5XFAD
32050,32050ThioS,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1263,M-340-17,3/20/18,2/12/19,,32050,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F4,Virgin,,JAX 5xFAD 12mo,288773377,6%,,0.447,24.67,5XFAD
32050,32050rh,,brain,whole brain,,frozen,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1263,M-340-17,3/20/18,2/12/19,,32050,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F4,Virgin,,JAX 5xFAD 12mo,288773377,6%,,0.447,24.67,5XFAD
32051,32051,,blood,serum,,frozen,,,,,FALSE,FALSE,,JAX,Mouse,female,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1264,M-340-17,3/20/18,2/12/19,,32051,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F4,Virgin,,JAX 5xFAD 12mo,288716453,6%,,0.486,35.13,5XFAD
32051,32051CDIF,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1264,M-340-17,3/20/18,2/12/19,,32051,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F4,Virgin,,JAX 5xFAD 12mo,288716453,6%,,0.486,35.13,5XFAD
32051,32051GIS,,brain,whole brain,,formalin-fixed,,,,,FALSE,TRUE,,JAX,Mouse,female,5XFAD_noncarrier,C57BL6J,JAX_MGL373,RMO1264,M-340-17,3/20/18,2/12/19,,32051,,8730,"B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax",5XFAD,,JAX,H.Harvested,H.Harvested,,N1F4,Virgin,,JAX 5xFAD 12mo,288716453,6%,,0.486,35.13,5XFAD
